repo	source_url	classification	score	linked_papers	paper_dois	paper_years	paper_titles	species	tissue	skill_names	raw_skill_tags	description	language	stars	license	reusable_files
almaan/her2st	https://github.com/almaan/her2st	paper_analysis_code_candidate	519	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Her2 Breast Cancer Project	Jupyter Notebook	99		scripts/Seurat_analysis_HER2_BC_samples.Rmd | scripts/corrplot.R | scripts/rank-plot.py | scripts/visual.py
leihouyeung/STdeconv_benchmark	https://github.com/leihouyeung/STdeconv_benchmark	paper_analysis_code_candidate	519	S0368	10.1038/s41467-023-37168-7	2023	A comprehensive benchmarking with practical guidelines for cellular deconvolution of spatial transcriptomics.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-spatial-communication	cell_cell_interaction:1;cell_type_mapping:2;spatial_communication:1	The benchmarking of spatial transcriptomics deconvolution methods	Jupyter Notebook	34		evaluation & visualization/JSD_RMSE_calculation.R | evaluation & visualization/MERFISH_visualize.R | evaluation & visualization/ST_case1.py | evaluation & visualization/ST_case2.py | evaluation & visualization/Visium_case1.py | evaluation & visualization/Visium_case2.py | evaluation & visualization/Visium_case3.py | evaluation & visualization/metrics.R | evaluation & visualization/seqFISH+_visualize.R | evaluation & visualization/variance.R | methods/Cell2location/Pipeline_cell2location.ipynb | methods/RCTD/RCTD.R | methods/STRIDE/build/lib/STRIDE/Plot.py | methods/SpatialDWLS/SpatialDWLS.ipynb | methods/SpatialDecon/SpatialDecon.R | methods/Tangram/README.ipynb | methods/stereoscope/README.ipynb
romain-lopez/DestVI-reproducibility	https://github.com/romain-lopez/DestVI-reproducibility	paper_analysis_code_candidate	514	S0461	10.1371/journal.pcbi.1013354	2025	Improving cell-type composition inference in spatial transcriptomics with SpaDAMA.			stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	cell_type_mapping:6;developmental_trajectory:1;publication_plotting:2;quality_control_preprocessing:1;spatial_domain:3	Reproducing the experiments of the DestVI paper	Jupyter Notebook	24	MIT	lymph_node/deconvolution/DestVI-LN.ipynb | lymph_node/deconvolution/utils.py | lymph_node/nova/Step1: annotation nova-seq run with totalVI data.ipynb | lymph_node/nova/Step2: annotation curation and filtering for our nova data.ipynb | lymph_node/nova/Step3: further clustering.ipynb | lymph_node/spatial/Step 4:joint_analysis.ipynb | simulations/run_RCTD.R | simulations/run_Seurat.R | simulations/run_algo_follow_up.sh | simulations/run_algo_simulations.sh | simulations/run_cell2location.py | simulations/run_stereoscope.py | simulations/spatial_prior/destvi_spatial/__init__.py | simulations/spatial_prior/destvi_spatial/_model.py | simulations/spatial_prior/destvi_spatial/_module.py | simulations/spatial_prior/spatial_prior.ipynb | tumor/deconvolution/DestVI-Tumor.ipynb | tumor/spatial/step2:spatial-preprocessing.ipynb
guott15/SPIRAL	https://github.com/guott15/SPIRAL	paper_analysis_code_candidate	512	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10		Jupyter Notebook	17		Comparison/STAligner_cases/Tutorial_Cross_Platforms.ipynb | Comparison/STAligner_cases/Tutorial_DLPFC.ipynb | Comparison/STAligner_cases/coronal_mouse_brain.ipynb | Comparison/STAligner_cases/mouse_ob.ipynb | Comparison/STAligner_cases/saggital_mouse_brain.ipynb | Comparison/STAligner_cases/simulate.ipynb | Demo/seurat/DLPFC_domain_identifiction.ipynb | Demo/seurat/Mouse_OB_domain_identifiction.ipynb | Demo/seurat/Mouse_brain_coronal_domain_identifiction.ipynb | Demo/seurat/Mouse_brain_saggital_domain_identifiction.ipynb | Demo/seurat_clustering.ipynb | Downstream/Downstream_Analysis_seurat.ipynb | Downstream/PAGA_pseudotime.ipynb | Downstream/metrics_spatial_coherence.ipynb | Downstream/multiple_sample_clustering.ipynb | Process/Coronal_annotation.ipynb | Process/Spatial_Net.py | Process/sagittal_annotation.ipynb | spiral/CoordAlignment.py
JinmiaoChenLab/SpatialGlue	https://github.com/JinmiaoChenLab/SpatialGlue	paper_analysis_code_candidate	510	S0114;S0378	10.1038/s41592-024-02316-4;10.1038/s41467-024-55204-y	2024;2025	Deciphering spatial domains from spatial multi-omics with SpatialGlue.; Cooperative integration of spatially resolved multi-omics data with COSMOS.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;cell_type_mapping:2;developmental_trajectory:2;publication_plotting:2;publication_plotting:3;quality_control_preprocessing:2;quality_control_preprocessing:3;spatial_domain:13;spatial_domain:3;spatial_programs:1;spatial_programs:3	SpatialGlue is a novel deep learning methods for spatial multi-omics data integration.	Python	90	AGPL-3.0	SpatialGlue/SpatialGlue_pyG.py | SpatialGlue/model.py | SpatialGlue/preprocess.py | SpatialGlue/utils.py
PMBio/SpatialDE	https://github.com/PMBio/SpatialDE	paper_analysis_code_candidate	510	S0365	10.1016/j.xgen.2024.100565	2024	Complete spatially resolved gene expression is not necessary for identifying spatial domains.			stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	publication_plotting:2;quality_control_preprocessing:6;spatial_domain:5	Test genes for Spatial Variation	Python	15	MIT	SpatialDE/__init__.py | SpatialDE/_internal/__init__.py | SpatialDE/_internal/distance_cache.py | SpatialDE/_internal/gpflow_helpers.py | SpatialDE/_internal/kernels.py | SpatialDE/_internal/models.py | SpatialDE/_internal/optimizer.py | SpatialDE/_internal/score_test.py | SpatialDE/_internal/sm_kernel.py | SpatialDE/_internal/svca.py | SpatialDE/_internal/tf_dataset.py | SpatialDE/_internal/util.py | SpatialDE/_internal/util_mixture.py | SpatialDE/aeh.py | SpatialDE/de_test.py | SpatialDE/dp_hmrf.py | SpatialDE/gaussian_process.py | SpatialDE/io.py | SpatialDE/svca.py
shangll123/SpatialPCA	https://github.com/shangll123/SpatialPCA	paper_analysis_code_candidate	508	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Spatially aware dimension reduction for spatial transcriptomics.	R	68		R/SpatialPCA-package.R | R/SpatialPCA.R | R/SpatialPCA_EstimateLoading.R | R/SpatialPCA_SpatialPCs.R | R/SpatialPCA_buildKernel.R | R/SpatialPCA_highresolution.R | R/SpatialPCA_multiple_sample.R | R/SpatialPCA_utilties.R
wenwenmin/SpaBatch	https://github.com/wenwenmin/SpaBatch	analysis_or_method_code_candidate	504	S0349	10.1002/advs.202509090	2025	SpaBatch: Deep Learning-Based Cross-Slice Integration and 3D Spatial Domain Identification in Spatial Transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;publication_plotting:6;spatial_domain:11;spatial_programs:3	[Advanced Science 2025] SpaBatch: Deep learning-based cross-slice integration and 3D spatial domain identification in spatial transcriptomics	Jupyter Notebook	19		Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_12S.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151507.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151669.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_DLPFC_151673.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MBA_MBP.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MOB.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutorial_MOE.ipynb | Baselines/STAligner/Tutorials_DLPFC/Tutoricals_BC_H.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151507.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151669.ipynb | Baselines/STitch3D/Tutorials_DLPFC/Run_DLPFC_151673.ipynb
MarioniLab/EmbryoTimecourse2018	https://github.com/MarioniLab/EmbryoTimecourse2018	paper_analysis_code_candidate	493	S0437	10.1101/gr.280532.125	2025	Polyomino reconstructs spatial transcriptomic profiles with single-cell resolution via a region-allocation method.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:3;cell_cell_interaction:2;cell_type_mapping:4;publication_plotting:3;quality_control_preprocessing:1;spatial_communication:2;spatial_domain:5;spatial_programs:1	Data and analysis scripts for our Embryo Timecourse paper.	HTML	68		analysis_scripts/atlas/7_define_clusters/cluster.Rmd | analysis_scripts/atlas/7_define_clusters/cluster_merging.ipynb | analysis_scripts/atlas/endoderm/umap.py | analysis_scripts/atlas/vis/umap/umap.Rmd | analysis_scripts/atlas/vis/umap/umap.py
TencentAILabHealthcare/spatialID	https://github.com/TencentAILabHealthcare/spatialID	analysis_or_method_code_candidate	490	S0040;S0083	10.1016/j.crmeth.2025.101205;10.1038/s41467-022-35288-0	2025;2022	stTransfer enables transfer of single-cell annotations to spatial transcriptomics with single-cell resolution.; Spatial-ID: a cell typing method for spatially resolved transcriptomics via transfer learning and spatial embedding.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;cell_type_mapping:10;cell_type_mapping:14;publication_plotting:6;publication_plotting:7;quality_control_preprocessing:1;quality_control_preprocessing:3;spatial_cell_type_interpretation:1;spatial_domain:4;spatial_domain:5;spatial_programs:1		Python	40		cell_type_annotation_for_hyp3d.py | cell_type_annotation_for_merfish.py | cell_type_annotation_for_nanostring.py | cell_type_annotation_for_slideseq.py
ttgump/spaVAE	https://github.com/ttgump/spaVAE	analysis_or_method_code_candidate	489	S0378	10.1038/s41467-024-55204-y	2025	Cooperative integration of spatially resolved multi-omics data with COSMOS.			stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	developmental_trajectory:2;publication_plotting:2;quality_control_preprocessing:3;spatial_domain:3;spatial_programs:1	Dependency-aware deep generative models for multitasking analysis of spatial genomics data	Jupyter Notebook	44	Apache-2.0	Tutorial/Mouse_olfactory_bulb_data/Mouse_olfactory_bulb_enhancing_spatial_resolution.ipynb | Tutorial/spatial_multiomics_data/spaMultiVAE_tutorial.ipynb | src/utilities/louvain_clustering.py
ZJUFanLab/SRTBenchmark	https://github.com/ZJUFanLab/SRTBenchmark	paper_analysis_code_candidate	489	S0350	10.1002/imt2.70084	2025	A comprehensive benchmarking for spatially resolved transcriptomics clustering methods across variable technologies, organs, and replicates.			stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	cell_type_mapping:1;publication_plotting:2;quality_control_preprocessing:1;spatial_domain:14	Benchmarking spatial clustering methods for spatial resolved transcriptomics	Jupyter Notebook	9		Methods/BayesSpace_Sample.R | Methods/BayesSpace_Sample_Optimized.R | Methods/SpatialMGCN_Sample.py | Methods/SpatialMGCN_Sample_Optimized.py | fig1/FIgure1.ipynb | fig2/Figure2_plot.ipynb | fig3/Figure3_plot.ipynb | fig4/Figure4_plot.ipynb | fig5/Figure5_plot.ipynb | script/FIgure1_plot.ipynb | script/Figure2_plot.ipynb | script/Figure3_plot.ipynb | script/Figure4_plot.ipynb | script/Figure5_plot.ipynb | simulations/script_scCube/sim1_spatial_continuity.ipynb | simulations/script_scCube/sim4_add_domain.ipynb
uhlerlab/STACI	https://github.com/uhlerlab/STACI	paper_analysis_code_candidate	485	S0371	10.1038/s41467-023-43220-3	2023	SPACEL: deep learning-based characterization of spatial transcriptome architectures.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:2;cell_cell_interaction:1;cell_type_mapping:2;publication_plotting:1;spatial_domain:4;spatial_programs:1		Jupyter Notebook	15		.ipynb_checkpoints/plotEmbedding_Starmap-checkpoint.ipynb | .ipynb_checkpoints/plotEmbedding_data-checkpoint.ipynb | DEcluster_Starmap.ipynb | clusterComposition.ipynb | plotEmbedding_10xADFFPE.ipynb | plotEmbedding_10xADFFPE_extBatchCorrection.ipynb | plotEmbedding_Starmap.ipynb | plotEmbedding_Starmap_newdata.ipynb | plotEmbedding_Starmap_scrnaseq.ipynb | plotEmbedding_jointCNNgae_Starmap.ipynb | plotPlaqueDistr.ipynb | plotPlaqueDistr_newdata.ipynb | plotRegrsFromJoint_starmap_3Dseg.ipynb | segment3D_gpu.ipynb
cs-wangbo/Spatial-MGCN	https://github.com/cs-wangbo/Spatial-MGCN	paper_analysis_code_candidate	483	S0359	10.1016/j.csbj.2023.11.055	2024	A comprehensive overview of graph neural network-based approaches to clustering for spatial transcriptomics.			stereo-seq-cell-type-mapping;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_type_mapping:2;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_domain:25;spatial_programs:1		Python	23		Spatial-MGCN/DLPFC_denoising.py | Spatial-MGCN/DLPFC_generate_data.py | Spatial-MGCN/DLPFC_test.py | Spatial-MGCN/HBC_generate_data.py | Spatial-MGCN/HBC_test.py | Spatial-MGCN/MOB_generate_data.py | Spatial-MGCN/MOB_test.py | Spatial-MGCN/__init__.py | Spatial-MGCN/config.py | Spatial-MGCN/layers.py | Spatial-MGCN/models.py | Spatial-MGCN/utils.py
JinmiaoChenLab/SEDR	https://github.com/JinmiaoChenLab/SEDR	paper_analysis_code_candidate	483	S0365;S0428;S0444;S0449	10.1016/j.xgen.2024.100565;10.1093/bioinformatics/btae663;10.1186/s12864-024-10469-x;10.1186/s13059-024-03361-0	2024	Complete spatially resolved gene expression is not necessary for identifying spatial domains.; A signal-diffusion-based unsupervised contrastive representation learning for spatial transcriptomics analysis.; HyperGCN: an effective deep representation learning framework for the integrative analysis of spatial transcriptomics data.; Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;3d_reconstruction:5;developmental_trajectory:2;publication_plotting:2;publication_plotting:4;publication_plotting:9;quality_control_preprocessing:1;quality_control_preprocessing:5;quality_control_preprocessing:6;spatial_cell_type_interpretation:1;spatial_domain:10;spatial_domain:19;spatial_domain:5;spatial_programs:2;spatial_programs:7		Python	68	MIT	SEDR/clustering_func.py | docs/Tutorial1_Clustering.ipynb | docs/Tutorial4_Stereo-seq.ipynb
Coolgenome/iTALK	https://github.com/Coolgenome/iTALK	paper_analysis_code_candidate	481	S0008	10.1002/advs.202509733	2025	Globotriaosylceramide Gb3 Influences Wound Healing and Scar Formation by Orchestrating Fibroblast Heterogeneity.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:1;cell_type_mapping:1;developmental_trajectory:2;publication_plotting:1;quality_control_preprocessing:2;spatial_cell_type_interpretation:2;spatial_communication:1;spatial_domain:3;spatial_programs:5		R	66		R/DEG.R | R/LRPlot.R | R/TimePlot.R
VingronLab/CAbiNet_paper	https://github.com/VingronLab/CAbiNet_paper	paper_analysis_code_candidate	481	S0434	10.1093/nar/gkae480	2024	CAbiNet: joint clustering and visualization of cells and genes for single-cell transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:1;cell_type_mapping:4;developmental_trajectory:2;publication_plotting:4;quality_control_preprocessing:7;spatial_domain:14		Jupyter Notebook	1		Benchmarking/algorithms/Seurat.R | Benchmarking/algorithms/biclustlib/clustering_error.R | Benchmarking/cluster_submit_real.sh | Benchmarking/cluster_submit_sim.sh | Benchmarking/data_scalability/cluster_submit-16t.sh | Benchmarking/data_scalability/cluster_submit.sh | Benchmarking/robustness/cluster_submit.sh | Preprocessing/submit_to_cluster_preprocessing.sh | Preprocessing/submit_to_cluster_preprocessing_simdata.sh | Results/Fig2_SFig3-pbmc-data.ipynb | Results/Fig3_SFig4-5_brain_organoids.ipynb | Results/Fig4-DmelSpatial-data.ipynb | Results/Fig5_SFig6-7_benchmarking.ipynb | Results/SFig1_SFig2_tabula_muris.ipynb | Results/SupplFigures.ipynb | Results/Suppl_Figure_8.ipynb
zhanglabtools/STAligner	https://github.com/zhanglabtools/STAligner	method_tool_with_examples	481	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	STAligner: Integrating spatial transcriptomics data across different conditions, technologies, and developmental stages	Jupyter Notebook	26	MIT	STAligner/STALIGNER.py | STAligner/ST_utils.py | STAligner/__init__.py | STAligner/gat_conv.py | STAligner/mnn_utils.py | STAligner/train_STAligner.py | Tutorials/Tutorial_3D_alignment.ipynb
Dulab2020/singlecell-analysis	https://github.com/Dulab2020/singlecell‐analysis	paper_analysis_code_candidate	476	S0344	10.1002/1878-0261.13373	2023	Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.		cancer	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery	cell_cell_interaction:1;cell_type_mapping:4;publication_plotting:3;quality_control_preprocessing:2;spatial_cell_type_interpretation:4;spatial_communication:1;spatial_domain:4	Code of Single-cell and spatial analysis reveal the association between gene expression of glutamine synthetase with immunosuppressive phenotype of APOE+CTSZ+TAM in cancers	R	1		Analysis/ssgsea.R | Seurat-process/cca.R | Seurat-process/celltype_annotation.R | Seurat-process/harmony.R | Seurat-process/read-data.R | Seurat-process/seurat-process.R | Seurat-process/seurat_plots/dimplot.R | Seurat-process/seurat_plots/feature-plot.R | plots/boxplot.R | plots/bubble_plot.R | plots/corr_plot.R | plots/dot_plot.R | plots/heatmap-settings.R | plots/heatmap.R | plots/violin_plot.R
weallen/STARmap	https://github.com/weallen/STARmap	paper_analysis_code_candidate	474	S0441	10.1126/sciadv.abq0990	2022	Accurate inference of genome-wide spatial expression with iSpatial.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:1;cell_type_mapping:1;publication_plotting:3;spatial_cell_type_interpretation:1;spatial_domain:4;spatial_programs:1	Software for processing and analyzing STARmap experiments.	Jupyter Notebook	39	MIT	matlab/DFTApply3D.m | matlab/DFTRegister3D.m | matlab/EqualizeHist3D.m | matlab/FindAllSpots3D.m | matlab/FindSpots3D.m | matlab/JointRegister3D.m | matlab/JointRegister3DVols.m
mumu8910/snRNA_NF	https://github.com/mumu8910/snRNA_NF	analysis_or_method_code_candidate	471	S0095	10.1038/s41467-025-58614-8	2025	Single-nucleus and spatial transcriptomics identify brain landscape of gene regulatory networks associated with behavioral maturation in honeybees.		brain	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	cell_type_mapping:6;publication_plotting:4;quality_control_preprocessing:3;spatial_cell_type_interpretation:1;spatial_domain:8;spatial_grn_regulon:2;spatial_programs:4		R	1		01_Seurat/01_Integration.R | 01_Seurat/02_FindCluster.R | 01_Seurat/03_FindMarkers.R | 01_Seurat/04_GOenrich.R | 03_DifferentialGeneExpression/02_PseudoBulkDEG.R | 04_SCENIC/01_SCENIC_Database.sh | 04_SCENIC/02_SCENIC.sh | 05_cross_species/03heatmap_pheat.R
theislab/graphcompass	https://github.com/theislab/graphcompass	method_tool_with_examples	469	S0424	10.1093/bioinformatics/btae242	2024	GraphCompass: spatial metrics for differential analyses of cell organization across conditions.			stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_type_mapping:8;publication_plotting:3;quality_control_preprocessing:3;spatial_cell_type_interpretation:2;spatial_domain:1;spatial_programs:1	GraphCompass: Graph Comparison Tools for Differential Analyses in Spatial Systems	Jupyter Notebook	39	MIT	notebooks/portrait/portrait_stereoseq.ipynb | notebooks/wlkernel/wlkernel_stereoseq.ipynb
bwalker1/NeST	https://github.com/bwalker1/NeST	paper_analysis_code_candidate	468	S0370	10.1038/s41467-023-42343-x	2023	NeST: nested hierarchical structure identification in spatial transcriptomic data.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	3d_reconstruction:1;cell_cell_interaction:2;cell_type_mapping:2;publication_plotting:3;quality_control_preprocessing:7;spatial_cell_type_interpretation:3;spatial_communication:2;spatial_domain:7;spatial_programs:3		Python	13	MIT	nest/benchmarks/parameters_synthetic_segmentation.py | nest/cci/__init__.py | nest/cci/cci.py | nest/cci/cellchat.py | nest/cci/spatial.py | nest/hotspot/hotspots_3d.py | nest/plot/__init__.py | nest/plot/hotspots.py | nest/plot/pl3d.py | nest/plot/plot.py | nest/plot/tracksplot.py
hannshu/stCluster	https://github.com/hannshu/stCluster	method_tool_with_examples	468	S0418	10.1093/bib/bbae329	2024	Accurately deciphering spatial domains for spatially resolved transcriptomics with stCluster.			stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_type_mapping:1;publication_plotting:3;spatial_domain:23;spatial_programs:2	Accurate spatial domain deciphering for spatially resolved transcriptomics with stCluster	Python	8	MIT	stCluster/__init__.py | stCluster/conv.py | stCluster/denoising.py | stCluster/eval.py | stCluster/run.py | stCluster/stCluster.py | stCluster/train.py | stCluster/utils.py
BGI-Intestines/Germ-free-mice	https://github.com/BGI-Intestines/Germ-free-mice	paper_analysis_code_candidate	466	S0011	10.1002/imt2.272	2025	Cross-tissue multi-omics analyses reveal the gut microbiota's absence impacts organ morphology, immune homeostasis, bile acid and lipid metabolism.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;cell_cell_interaction:1;cell_type_mapping:2;developmental_trajectory:1;publication_plotting:17;quality_control_preprocessing:2;spatial_cell_type_interpretation:2;spatial_communication:1;spatial_domain:9;spatial_programs:11	Germ-free mice multiple organizations project	Jupyter Notebook	1		Analysis/Jupyter/DEG.ipynb | Analysis/Jupyter/immune_regulation_factor_ploting.ipynb | Analysis/Jupyter/step3_Cell2location_cluster.ipynb | Analysis/script/AnnotClusterPlot.R | Analysis/script/Integrate_Plot.R | Analysis/script/Integrate_Plot2.R | Analysis/script/subClustering.R | Figure1/Figure1.ipynb | Figure2/Figure2.ipynb | Figure3/Figure3.ipynb | Figure4/Figure4.ipynb | Figure5/Figure5.ipynb | Figure6/step8_Figure6.ipynb
Nanostring-Biostats/SpatialDecon	https://github.com/Nanostring-Biostats/SpatialDecon	paper_analysis_code_candidate	466	S0368	10.1038/s41467-023-37168-7	2023	A comprehensive benchmarking with practical guidelines for cellular deconvolution of spatial transcriptomics.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-spatial-communication	cell_cell_interaction:1;cell_type_mapping:2;spatial_communication:1	The SpatialDecon library implements the SpatialDecon algorithm for mixed cell deconvolution in spatial gene expression datasets. (This algorithm also works in bulk expression profiling data.) 	R	41	MIT	R/TIL_barplot.R | R/runspatialdecon.R | R/spatialdecon.R | vignettes/SpatialDecon_vignette.Rmd | vignettes/SpatialDecon_vignette_NSCLC.Rmd
maiziezhoulab/BenchmarkST	https://github.com/maiziezhoulab/BenchmarkST	paper_analysis_code_candidate	460	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics	Jupyter Notebook	25	MIT	DeepST/Benchmark/run_DLPFC_bayesspace.R | SEDR/src/clustering_func.py | metrics/Layer-wise alignment accuracy.ipynb | metrics/Spot-to-spot alignment accuracy.ipynb | metrics/clustering_metrics_and_usage.py | run_STAligner/STAligner.ipynb | run_STalign/run_STalign.ipynb
